Identifier,Card_name,SSN,ZIP,Phone,Amount
421,Jennie Mitani,780-03-7790,40838-7932,870-181-6434,2212
422,Wendy Salgado,218-90-3375,18475-4644,721-486-9239,4029
423,Michael Matos,556-38-9665,05980-6729,969-503-3328,341
424,Lucina Browning,411-38-0118,90435-1087,328-377-7919,9642
425,Brenda Norton,820-79-5751,60763-9724,704-372-8951,8708
426,Melissa Langley,376-86-1496,23266-1117,541-534-4836,7851
427,Christian Lozey,115-77-0410,99992-1850,546-258-4650,2161
428,Monica Heck,579-07-2448,51628-3790,601-619-1537,7090
429,Greta Chavez,187-08-4208,38256-1758,856-717-0770,3933
430,Socorro Atkins,418-94-1212,55749-9560,104-771-4388,8474
431,Albert Carol,164-11-3670,38706-8867,498-536-6448,4449
432,Francis Williams,927-76-9990,04080-9274,296-672-0942,2524
433,Toni Gayne,135-81-5127,06427-6624,485-585-8610,785
434,Ione Bigham,441-78-9968,97232-6757,772-023-5325,8836
435,Sandra Daniel,574-04-8716,68651-6026,608-840-4040,7773
436,Sandra Harkin,948-87-9960,29796-4021,471-549-5419,7802
437,Jan Hernandez,851-63-6622,21371-1776,767-605-1013,820
438,Teresa Withers,396-79-0425,15291-8771,826-035-3646,9260
439,Melanie Freitag,344-46-5741,79331-2383,551-420-8141,6580
440,Alejandro Spencer,948-42-2797,38791-5871,844-284-4630,2379
441,Carolyn Reinhardt,529-25-6473,63622-8369,711-862-1432,8791
442,Anita Brown,153-04-4392,32270-7080,118-886-4182,6995
443,Kathleen Patch,888-78-8912,19541-9801,192-871-1732,1944
444,Nancy Young,318-39-2486,78490-3063,342-545-9451,875
445,Donna Shannon,710-02-6586,44781-2972,431-236-2693,186
446,Norma Koontz,938-33-4061,99721-0357,602-812-6756,1264
447,Greg Fitch,119-06-2913,43875-2455,885-122-5791,3304
448,David Diaz,867-58-9753,13481-8412,944-830-0771,2171
449,James Carter,252-29-5380,41222-9936,195-158-2039,9357
450,Evelyn Denise,404-84-6412,32489-1675,975-829-1791,8262
451,Kay Ball,613-90-1278,96301-9207,967-816-6285,5416
452,Charlie Dammeyer,625-61-3606,13621-7824,596-396-2857,4552
453,Antoinette Arnold,374-34-0550,68549-8086,427-508-0404,7412
454,Edward Plummer,965-47-9446,37546-5492,645-789-3164,2396
455,Ellen Campbell,404-73-4182,80772-1485,416-338-9663,4793
456,Roxy Gilreath,338-90-5031,27364-0678,936-670-3919,5552
457,Angela Beek,440-68-4790,83085-6619,273-395-8246,3470
458,Teresa Klish,380-49-7950,33938-8393,704-304-4393,4481
459,Jay Piccinone,214-90-1262,93146-5572,206-880-6389,5718
460,Rodney Sanchez,527-26-2879,28805-9639,634-778-5653,1497
461,Adam Hein,801-87-3422,44601-4266,183-738-4329,600
462,Jeffery Chapin,380-48-8589,94764-1088,483-214-9711,6504
463,Billy Templeton,553-83-7225,59003-2086,799-442-5677,8317
464,Christopher Polley,818-80-6720,05012-1587,194-003-7839,8897
465,Kevin Troutt,315-70-7284,57573-4605,810-759-0420,7796
466,Michael Flowers,969-44-1551,99986-5485,349-075-4800,7522
467,Frances Frame,854-28-7826,33321-7270,789-116-9272,9353
468,Bertha Stone,417-76-1726,02344-5625,358-444-0861,3256
469,Tricia Freeman,952-03-0518,96023-5265,358-835-1745,9734
470,Willie Dismukes,173-87-3834,83640-3974,818-735-9442,1219
471,Dustin Mcdermott,667-55-5255,46251-5932,485-215-8760,7810
472,James Ralph,614-13-1492,46979-6148,482-215-2496,2000
473,Nick Pritchard,594-38-8119,26390-0286,969-469-1141,4289
474,Scott Gaylord,578-08-5072,51616-9520,652-386-1995,7627
475,Mary Carter,655-84-9010,70575-5050,615-186-8501,9844
476,Carol Mcintosh,986-61-6079,52494-9878,964-116-7330,4062
477,Carroll Gressler,735-61-2085,02884-8931,315-179-5125,9992
478,Shawn Bond,780-70-3712,15573-5149,982-756-2576,6959
479,Henry Rosario,751-07-7365,03171-7112,713-005-4909,9095
480,Stacy Bradley,680-31-4096,18792-1520,546-426-0754,5969
481,Anita Ayala,706-30-0568,16388-0832,296-576-1208,6618
482,Ruth Richey,390-15-6326,86037-9115,975-820-8126,9025
483,Donald Royal,444-54-5662,38250-3228,983-184-3768,4533
484,Andrew Sampogna,245-76-6288,98804-5923,570-812-7567,699
485,Nicole Thiboutot,567-17-6796,31774-9261,112-403-1834,5386
486,Christopher Wells,261-30-0623,10860-3654,991-269-3518,2052
487,Mark Erickson,482-60-7438,87515-7094,699-396-3080,8460
488,William Simson,216-88-5396,41600-4697,190-104-1961,2869
489,Harry Flores,365-77-2129,02717-1065,513-763-3404,955
490,Isaac Chin,849-91-4873,60403-4507,419-016-1904,1262
491,Cassandra Hall,137-26-8584,82932-6252,471-823-8653,3852
492,Debbie Harju,399-34-3897,28024-2629,325-580-0481,3759
493,Jeri Billiot,183-59-1857,95063-7421,499-039-2259,8896
494,Charles Wetherbee,644-63-5259,01424-2587,206-141-1241,8935
495,Pamela Smith,991-24-5011,00344-2732,556-377-3538,8882
496,Cinthia Thurman,615-14-0056,74955-0814,736-169-4387,7708
497,Maria Bowman,308-29-5948,12036-6059,935-877-1333,7970
498,Shirley Gross,651-23-6112,07117-3678,975-671-6825,8341
499,Gracie Campbell,924-43-3789,29644-8133,428-735-4764,1639
500,Ona Radcliff,417-25-8422,33471-5114,766-322-9307,5798
501,Wilma Kugler,877-08-6202,74160-6137,661-784-1882,1617
502,Rose Baker,362-38-6347,96522-8789,803-246-3116,5436
503,Gary Montes,375-11-0945,41091-8146,515-420-2320,3274
504,Cynthia Merriweather,100-75-2171,80835-8288,711-887-1262,7371
505,Andrea Becker,333-72-0014,06547-3995,860-246-3652,1474
506,Luz Toole,652-93-2090,17027-3489,399-729-7135,1476
507,Justine Forbes,702-80-4721,30423-1610,395-420-0813,1979
508,Lisa Sanchez,777-23-2630,18406-1730,910-643-1023,7857
509,Marcus Gate,698-63-0615,05443-9839,502-402-4595,2394
510,Tiffany Young,771-64-9761,73350-1500,926-027-6595,7712
511,Georgine Frederick,418-71-3910,77328-7106,204-007-1851,4835
512,Dionna Friou,794-92-5859,59396-7372,677-021-4674,1449
513,Leonard Blue,222-27-3615,51835-0231,145-020-6281,7393
514,Angela Quick,257-20-4583,96470-8587,665-636-9211,2174
515,Robert Barnett,628-62-5015,82016-5223,882-147-7997,9914
516,Andre Leblanc,557-38-3157,92179-8555,196-806-1490,8351
517,Benjamin Brown,451-27-2213,27621-2077,686-051-6691,4266
518,Christopher Lail,572-62-2677,80034-4907,310-254-3871,8356
519,Michael Greenspan,624-29-7053,72603-4816,932-801-0002,2149
520,Mary Troendle,498-36-3571,88186-6585,174-098-3570,9678
521,Jason Smith,456-84-5030,77965-8548,894-671-3438,3112
522,Elmer Leyva,573-87-2170,99278-0824,550-878-6089,1208
523,Robert Odom,816-56-6174,60034-9350,651-348-5710,682
524,Ryan Asher,559-53-3457,74299-4054,844-683-0172,5072
525,Elizabeth Ramirez,729-07-4187,51466-4324,545-399-6211,4574
526,Joseph Bullock,682-67-0823,72967-5039,707-496-6820,7887
527,Meghan Estes,773-62-9447,96723-1983,434-843-2494,3850
528,Rosann Brown,985-07-6759,41156-9394,107-223-3429,7449
529,Mary Moss,736-77-2854,92362-4190,511-407-2136,8482
530,Alisha Dayton,128-02-9781,91243-8417,861-870-8031,3309
531,Billy Robinson,358-23-1129,35023-7410,884-274-9203,5978
532,Bradley Armstrong,937-05-4469,58546-1692,654-805-0732,6219
533,Bobby Sumpter,440-03-4903,76960-5097,526-832-5318,3507
534,Kimberly Havercroft,967-51-1682,42295-1250,293-018-6796,6984
535,Sarah Mcdermott,488-53-5419,93875-7139,430-183-1903,8440
536,Willie Appel,869-27-4076,44680-0112,769-248-5202,9847
537,Lisa Walquist,268-78-7265,14212-5392,504-692-5217,2270
538,Ruth Stacy,943-50-5146,77181-1728,424-188-3198,1190
539,Larry Holloway,943-58-8764,73038-3218,884-602-4071,9588
540,Jeannie Busbee,854-19-9328,74825-0083,939-385-1786,3806
541,Amy Boyle,199-95-4628,02397-0297,494-789-9687,6976
542,Mary Miguel,563-80-1900,40648-7580,674-644-9771,4982
543,Keith Desorcy,239-39-8761,14440-8468,353-761-4910,3389
544,Shirley Dixon,354-84-8197,87286-0328,108-820-3001,4791
545,Emily Freeman,449-99-6723,65489-3876,701-309-5932,2430
546,Jean Pearce,686-43-1108,35958-8433,430-522-5513,2590
547,Linwood Quintero,996-47-8074,39502-4328,705-419-7240,4499
548,David Sebek,114-15-2413,26319-6577,287-358-1404,5858
549,Mickey Sanchez,239-86-4194,79090-7322,353-375-5930,1752
550,Steven Cornish,383-17-3922,62489-5027,304-814-0639,2359
551,Warren Mcgowan,265-45-5590,43382-0245,434-528-1544,6017
552,Jose Jenkins,799-65-3633,99428-9441,483-880-4119,9001
553,Linda Magos,983-97-3848,79100-9847,680-645-0393,6891
554,Darcy Hatley,704-06-8430,38588-1749,186-283-2218,1840
555,Joel Sanders,783-25-8919,44790-1494,550-283-4832,3380
556,Helen Beane,600-48-2853,20128-6308,962-076-8780,5951
557,Madelyn Jean,504-61-8120,59816-4297,179-609-2285,6193
558,Steve Jones,308-58-8951,45701-4561,701-123-1073,3057
559,Carissa Scherrer,493-90-4950,81884-3630,644-251-9760,3045
560,James Taylor,332-16-8455,93011-3000,157-134-9208,6530
561,Eric Shively,845-60-6795,72243-7444,444-706-1576,4214
562,Antonio Allen,736-94-4463,61141-4245,177-806-2302,2441
563,Ione Hawes,423-12-1599,62358-1540,873-591-2868,708
564,Tameka Wolfe,884-20-3712,10883-2826,951-787-5732,5912
565,William Healy,606-69-2948,72454-0856,237-267-8652,4263
566,Priscilla Atkins,160-59-3041,32896-5902,585-669-4550,7716
567,Lorna Mooney,638-96-7877,43573-5898,350-717-8816,5262
568,Charles Hernandez,232-04-3900,07474-6290,876-004-4827,9818
569,Kermit Ayala,291-26-9836,87856-5591,319-358-3202,2807
570,Deanna Myers,132-44-5727,22809-4666,491-506-5366,3473
571,Marsha Williams,895-62-5074,62406-0727,361-014-9753,1113
572,Robert Patel,907-43-9257,70856-8263,906-149-4345,1001
573,Charlotte Negrete,443-42-1400,39693-5231,335-312-4914,3074
574,Juan Sealock,409-82-6636,35406-5241,243-254-5322,385
575,Judith Huerta,175-89-8029,09844-5719,255-575-1417,8169
576,Jeremy Cassady,732-82-5213,02596-7354,984-110-8186,9772
577,Richard Wiles,703-45-7066,81571-2848,445-833-1401,5847
578,Catherine Berkley,196-96-1972,47040-4827,924-239-4820,6441
579,Eugene Ficklin,802-03-2513,91043-4333,264-041-4518,7933
580,Helen Stephens,645-73-6012,64372-0030,115-028-1292,1071
581,Martha Beekman,922-31-0401,58392-2585,414-266-5210,1465
582,Jason Bibbs,181-72-1691,31977-5695,536-430-2222,1701
583,Cynthia Shah,774-40-6981,30581-1860,764-682-8653,3853
584,John Caldwell,493-38-5276,83992-0781,757-117-9733,1570
585,Barbara Thorsness,588-08-3863,49811-7294,949-426-7369,3902
586,Kathryn Boone,379-90-5410,49657-9809,466-309-9348,6674
587,Michael Lytle,523-42-0921,04810-5316,587-105-7275,3493
588,Lloyd Devalle,184-10-0641,03339-0208,810-874-6985,3109
589,Lee Black,420-73-2205,60189-4097,215-448-1720,7576
590,Virginia King,863-07-4952,27813-2885,412-457-4349,3110
591,Joan Ping,705-34-9844,60976-1683,270-401-9881,134
592,Theodore Burgos,970-94-3654,91167-6558,234-582-6686,3748
593,Steven Aldrich,770-67-5281,73658-0914,295-142-2646,2967
594,Benny Boydston,666-28-3392,34646-1716,629-096-3765,207
595,Diane Warner,241-79-7335,17980-0957,299-376-4881,6248
596,Eugene Blankenship,486-91-2546,01375-4221,910-304-7535,2683
597,Thomas Walker,182-34-6153,55457-8595,603-515-9789,872
598,Byron Coles,964-42-5395,86584-9520,142-351-4545,9154
599,Patricia Bastien,400-82-7118,37341-1118,401-441-9093,5809
600,Edward Steiner,438-83-3193,43714-7891,611-602-0326,7052
601,Len Chew,744-03-6942,76595-5546,388-437-0309,1142
602,Gary Satterfield,248-41-1204,34798-5479,298-740-1290,5924
603,Doris Lane,235-30-8665,30333-0775,346-293-8313,6955
604,Tonie Pritchett,231-62-5096,96964-8519,767-231-0384,225
605,Charles Schrecengost,699-06-7295,31205-7246,525-087-9669,6670
606,Daniel Batten,832-57-8835,68592-0293,643-230-1357,5759
607,Robert Culbert,250-84-8222,88902-6269,369-681-1602,5303
608,Marcy Coil,976-50-1404,41771-0699,693-391-6178,5504
609,Patricia Grissom,723-78-3896,68724-3326,225-458-1423,6961
610,Janis Rivera,939-59-6827,93787-1871,114-276-2671,6108
611,Lanell Cisneros,660-42-9119,73586-3996,466-510-3868,5884
612,Katharine Martinez,329-06-0344,03947-8829,317-300-5770,7069
613,Lisa Brower,381-79-6577,41019-2453,297-798-2472,5580
614,Lisabeth Torres,808-19-3592,93761-3949,251-669-8147,2034
615,Ernest Homan,335-83-6799,74979-8069,317-506-3022,8318
616,Patricia Huls,984-77-8241,70867-8092,256-335-4485,8874
617,Jennifer Hedgespeth,982-98-2869,56821-2945,802-016-2547,2015
618,Frances Stacy,249-86-0825,58550-4301,367-839-1250,8891
619,Linda Hazelton,858-31-1596,22539-0629,745-449-8352,6895
620,Christopher Moore,700-01-3906,47276-4842,647-248-6953,1345
621,Irene Willoughby,698-15-1042,96486-5598,863-246-7332,3893
622,Alycia Truxillo,764-06-3146,82084-4492,758-552-0939,2018
623,Selena Pfaff,353-20-3560,30017-6408,799-378-1737,5011
624,Joan Dunham,444-53-8647,00717-0972,536-285-9303,1252
625,Lee Sosa,518-11-6049,89144-1643,692-068-8171,4152
626,Joseph Holland,703-12-5158,17793-9808,458-194-1419,4519
627,Bennie Akim,759-50-2009,43267-9238,289-071-0512,7441
628,Grant Flowers,623-42-0854,21629-0318,544-127-5595,9474
629,Lisa Robertson,176-07-4818,05449-8746,706-331-1863,2248
630,Kathleen Browning,404-91-0592,21316-9493,800-162-5426,4579
631,William Prosper,921-22-1764,20306-1287,407-544-1848,168
632,Sarah Collins,482-46-4662,18291-2476,958-558-2216,9331
633,Adrienne Wood,275-59-6980,71795-3059,451-424-3048,4997
634,Esther Brooks,872-25-3996,53405-6373,811-149-0695,8977
635,Dalia Bristol,195-16-6803,02454-6050,446-313-3280,1546
636,Thomas Bravo,262-64-9665,37776-5641,355-293-7177,1698
637,Theodore Bullard,628-59-8835,73859-0262,105-532-4136,4944
638,Estelle Albury,811-68-2922,31096-9637,644-800-1990,1513
639,Ray Cammack,881-01-1537,01310-6023,737-656-0216,3157
640,John Cooper,117-62-2519,48148-5610,312-190-9360,4230
641,Deborah Enriquez,311-43-9351,11308-9416,517-026-2143,3975
642,Margaret Teems,152-11-8263,88632-6078,562-769-6652,5297
643,Damon Shoaff,634-33-2105,47874-1061,553-521-7543,9614
644,Rocco Ohmen,366-43-6973,53665-3076,907-327-8562,4795
645,Julia Elliott,221-95-6430,47303-9424,786-747-7184,3340
646,Delisa Heim,811-01-4667,33071-2463,594-091-4441,9310
647,Sonia Corradino,665-89-4909,27892-8592,166-439-3211,1689
648,Harry Farina,525-78-5203,24313-9836,898-737-1302,8697
649,Lloyd Wilson,606-91-5032,17685-8284,185-359-1384,7388
650,Vincent Daniels,155-03-8086,14621-5222,493-712-6438,5922
651,Steve Polich,836-17-2004,76269-9548,983-731-6825,2131
652,Mary Parker,776-05-3443,73345-1574,293-352-8080,6792
653,Mildred Naegeli,356-30-1961,80800-2712,143-323-8227,1777
654,Nancy Dejesus,743-67-3657,46881-4185,236-314-4820,6361
655,Randy Benson,829-25-8262,61336-4298,687-742-0156,6735
656,Anne Byers,402-56-4829,58543-3030,232-058-2748,1697
657,Collette Fried,922-60-7836,51767-6859,664-282-5308,1000
658,Doris Lamm,734-96-9379,47236-1596,512-618-4124,3965
659,Judy Combs,528-28-3340,41578-2453,513-735-3747,7169
660,Maureen Walk,794-01-3539,34005-2939,300-340-7902,5321
661,David Cole,474-95-2721,44060-7334,923-651-5297,8886
662,Carl Stange,414-28-0549,10604-6131,281-032-4434,4701
663,Taryn Stephens,670-56-6697,48997-4393,251-775-4478,6631
664,Lois Danielson,653-44-3492,86831-5765,328-801-8409,7916
665,Maurice Powell,232-38-1433,19457-6784,897-601-6638,491
666,Tina Thomas,232-08-5422,27122-3273,785-866-2015,532
667,Steve Wasinger,151-17-1094,20671-9539,530-855-7529,3876
668,Roland West,643-15-1821,60258-9742,551-417-6783,6070
669,Russell Monton,840-07-1951,55955-9612,190-858-0132,5388
670,Bernice Cunningham,250-49-4999,92178-4002,316-317-0093,3980
671,James Remiszewski,131-57-1679,00206-5990,335-597-2164,2520
672,Claude Vargas,295-78-9973,17888-0506,285-387-2813,7670
673,Matthew Beatty,621-72-0202,57814-6704,305-435-8675,7743
674,Lacey Garcia,925-30-2701,74397-1552,141-183-0283,50
675,Sheri Benge,108-74-7170,06844-6363,133-619-2182,9138
676,James Pollock,370-38-9755,37931-3266,383-286-4416,4521
677,Lindsay Mcgonigle,717-24-8365,56475-0051,887-612-6689,865
678,Laura Price,712-51-5168,93131-3757,303-079-1368,411
679,Peter Collins,207-22-1956,52947-7947,122-308-3583,4881
680,Darlene Morguson,663-19-7764,64710-9829,650-540-0293,9035
681,Loren Wilson,259-02-9866,55729-6608,783-334-8656,2258
682,Sean Low,134-39-3560,53090-1001,164-545-5292,1285
683,Douglas Montoya,221-34-4226,40628-2885,334-626-8837,7065
684,Yolanda Dewey,560-63-3646,21934-5250,173-457-7935,9197
685,Bradley Mullins,376-87-9912,15972-8258,590-567-9404,6824
686,George Winnen,669-56-7474,81644-7361,830-644-9280,5380
687,Rita Langley,409-57-3592,20861-9425,548-578-9459,6638
688,Kathleen Earley,709-70-6873,51112-3733,574-244-9504,3315
689,Christie Cook,208-54-6424,94118-2061,926-111-8918,4003
690,Carl Mccracken,305-16-5963,33487-0292,661-050-9732,4342
691,Dolores Booker,933-81-9221,59982-5139,762-852-0631,1347
692,Aaron Golden,348-85-0325,62897-5704,157-436-9889,4590
693,Norman Pletcher,612-87-1121,66587-3589,519-492-3388,7096
694,Adam Young,121-92-6670,40929-9300,124-331-0073,2634
695,Clifford Rouse,465-26-3359,03744-8048,547-700-9669,2154
696,Curtis Conway,437-56-1786,91186-2252,312-803-8101,2882
697,Myra Tavares,146-93-8052,35553-3392,699-844-1484,9610
698,James Stamper,543-40-4477,48995-0255,685-108-4548,2725
699,Lynn Beasley,498-78-4562,37605-7072,995-634-6678,4101
700,Amie Wade,492-75-2529,96055-3713,231-725-4662,4353
701,Robert Burnett,743-17-0273,00876-3616,295-709-0503,5326
702,John Patel,170-23-0692,79838-6340,867-757-2972,6564
703,John Cookson,425-78-5966,17441-4154,543-563-3589,5020
704,Willie Joslin,642-60-7144,94701-9458,812-384-0925,2981
705,Theresa Cser,921-26-6572,72578-3270,784-147-6518,1744
706,Marcus Roach,162-46-8249,16429-6393,567-404-1657,5583
707,Willie Siebenaler,492-85-7506,74002-7871,492-818-4928,7674
708,Harry Cooper,681-77-6596,47340-7695,161-279-3757,7555
709,Benjamin Banks,683-33-9853,80314-2213,244-390-9469,7695
710,Deborah Cambell,702-15-2848,04034-9819,777-177-5275,8740
711,Roger Bennington,393-22-9055,51934-6939,883-225-8349,4070
712,Craig Sanchez,878-75-8833,45216-5074,162-375-6573,4697
713,Darryl Pagan,514-33-2282,18678-4754,523-029-3889,1086
714,Ashley Smith,770-74-1323,65369-4265,175-382-2658,999
715,Trisha Dawson,418-56-4975,52059-9807,600-855-8875,5205
716,Robert Griffin,868-56-0045,31602-7569,201-729-8906,5218
717,Diane Newell,609-27-8577,26482-2996,894-101-7875,3788
718,Robert Hatfield,974-37-3327,65088-7472,634-372-7685,463
719,Monica Hinson,113-97-9941,04949-6719,767-021-2631,3008
720,Delbert Phillips,791-66-5039,26541-8629,973-539-2922,7800
721,Tammie Clement,199-53-5935,38334-6969,548-212-8179,5369
722,Wendell Phillips,849-49-5994,13598-5065,235-438-4893,8914
723,Jason Pendleton,840-78-6269,35427-2672,616-064-7645,7400
724,Joe Oleary,962-27-5122,19749-3430,268-194-7953,5642
725,Niki Whitenack,108-08-1674,40282-2137,173-135-6316,1440
726,Kathy Mederos,737-65-6836,21474-5687,687-111-3668,4760
727,Victoria Tucker,212-54-5507,27412-9453,992-419-8083,1749
728,Edwin Hickox,742-29-5574,77722-2609,406-667-4954,1686
729,Heather Self,442-91-5699,07862-1717,640-125-1161,2507
730,Benjamin Good,478-19-5121,16579-4136,838-449-6954,8677
731,Louise Harkins,447-11-4171,75336-4696,809-764-6223,9941
732,Ryan Young,450-94-4493,37167-3043,294-144-5745,9593
733,Nicholas Brown,752-37-2489,08006-4572,176-020-4281,137
734,Ruth Lane,522-75-6491,75090-6081,804-710-3721,8056
735,Madeline Brandi,326-78-1714,14136-6778,422-087-2381,2616
736,Mary Furr,335-35-7339,34152-5478,784-225-8262,7980
737,Johnny Haney,741-17-4664,93513-9762,516-055-4623,7372
738,Jackie Divers,241-36-0775,73542-8596,107-786-1205,4049
739,Ismael Mohan,109-31-5928,81999-4271,891-611-6975,2762
740,Shannon Machak,441-85-1912,14112-9089,990-609-1109,3928
741,Jamie Bernhardt,811-58-0976,73057-0927,489-540-9101,6607
742,Deborah Williams,380-20-7983,03890-5595,660-046-1099,346
743,Lesha Ridley,321-30-5464,95499-6950,908-778-1882,9264
744,Howard Neal,193-14-4304,79614-7929,296-066-6792,2214
745,Melynda Bergman,602-60-4999,41630-9624,836-625-9507,4051
746,Carl Conley,530-96-5955,30001-1955,855-592-0635,7526
747,Judith Dixon,693-70-3039,55738-6912,513-326-9617,6299
748,Huong Dumas,193-16-2064,87506-1371,820-400-0066,6038
749,Dorinda Mason,513-35-1408,77672-4098,602-550-4959,9925
750,Ida Parker,964-70-9699,71499-5634,482-483-0910,8104
751,William Rancourt,826-38-8550,94951-2462,356-811-0060,1026
752,Albert Hamlett,270-91-7750,05286-0152,403-290-4068,8376
753,Grant Knapp,524-32-6126,16521-6332,280-674-4891,9377
754,Marvin Prado,380-35-5396,47847-0462,324-573-1565,8208
755,Alfred Martinez,278-34-3560,48834-5487,802-195-3836,5444
756,Katheryn Little,200-38-6335,67679-9708,558-426-1918,1683
757,Victoria Cannon,509-44-7618,77645-6538,107-523-2137,3443
758,Catherine Williams,848-13-1136,70657-1821,274-100-3019,7629
759,Moises Lankford,961-72-3989,13767-9074,497-563-8991,1899
760,Guy Franco,269-59-3104,25303-3461,779-202-7206,297
761,Carmen Gainey,695-47-4356,42304-9093,921-490-3222,7454
762,Silvia Rabago,136-18-0125,52748-2365,338-068-4968,16
763,Barbara Boocks,812-48-7280,05378-1361,237-787-0919,2415
764,Steven Cook,392-85-9267,04282-5808,534-282-4779,8085
765,June Oakley,418-90-5391,27238-6746,639-575-4428,3356
766,Emma Hess,283-85-0244,74725-1899,662-633-7725,1181
767,Joan Sinisi,692-38-2679,53946-3395,506-728-4167,2173
768,Don Quadnau,126-57-7267,44353-1484,663-345-6187,7014
769,Henry Johnson,977-16-7167,13511-2252,781-741-1247,9622
770,Bailey Matsuda,786-90-7747,35825-3861,863-606-1587,8438
771,Archie Hicks,885-11-0578,86149-2805,962-485-1108,298
772,Maurice Amore,576-87-7158,28230-6303,231-344-6013,2842
773,Maria Blank,330-36-2096,57047-3261,170-424-4538,6662
774,Hilda Ollis,705-62-7314,26645-0187,841-409-2947,5843
775,Daniel Reed,188-83-5792,68458-4597,415-525-4986,6130
776,Fred Ortiz,814-54-8852,54874-3526,699-858-0939,9950
777,Fredrick Gardner,417-64-7752,66795-1667,634-314-8525,9980
778,Betty Fennell,561-41-9301,98728-5947,254-488-3144,5629
779,Robert Piacente,416-11-1881,83184-5456,956-445-0678,938
780,Kellye Kelly,208-10-4035,32929-8345,821-707-3423,4078
781,Brian Oates,804-55-7230,30601-8173,396-598-4525,4434
782,Calvin Safford,169-76-7625,75920-3475,173-748-9450,2454
783,Malcolm Ceja,958-83-0372,74205-0839,563-766-2653,5073
784,Traci Kimber,654-23-2322,74209-1773,811-621-4515,2604
785,Horace Steffes,884-85-6737,34788-7082,185-330-0945,4851
786,Larry Campbell,963-72-5423,83989-1663,269-181-7008,4841
787,Douglas Grappe,270-89-5498,04907-1638,451-343-0172,7209
788,Andrew Hussey,261-32-7879,42968-5418,179-152-6014,8417
789,Cynthia Somers,501-22-1587,15008-4637,832-362-7001,409
790,Colleen Ross,474-21-7465,12823-3941,125-372-1032,417
791,Connie Blair,199-92-2496,39716-9348,955-585-9592,5630
792,Jessica Cahill,440-05-1878,08506-1585,458-668-9742,6706
793,David Hernandez,406-40-4496,51323-7868,450-150-7552,9694
794,Ryan Perez,278-75-3398,19553-5320,210-790-9074,964
795,Betty Arnold,502-61-9126,29489-2138,958-459-2169,3154
796,Lloyd Ramirez,120-35-6554,31196-2260,966-750-7313,5567
797,Christopher Lorna,683-15-4867,05189-9344,487-494-9143,3605
798,Victoria Stevenson,478-70-9048,07102-7663,416-880-7961,5299
799,Sherri Roberson,491-37-4840,62471-8964,317-433-5175,8324
800,Alvin Raby,181-58-3693,72321-3853,124-499-6692,8979
801,Earl Medina,396-61-0340,55615-4056,251-622-4817,4445
802,Kim Call,344-03-1798,28504-1595,951-886-5148,1171
803,Kimberly Gonzales,122-43-6942,43572-2862,318-114-3220,9457
804,Robert Hancock,246-39-0643,93858-4840,230-750-9637,2386
805,Kristi Cooper,205-13-5050,13371-7360,523-041-8059,5342
806,Joseph Clark,579-40-2297,59076-3308,792-347-4411,8537
807,Theresa Madonia,538-33-5926,85109-7799,438-854-7928,2748
808,Joe Owens,365-54-6912,34322-7848,208-003-0494,5667
809,Richard Moncayo,692-67-5106,24984-7418,480-662-4557,9466
810,Jeremy Diamond,691-62-7159,87697-2618,531-702-9476,2198
811,Lynn Mcsween,343-91-2938,78997-3507,337-398-3613,315
812,Pearl Castaneda,782-59-4698,74709-6619,691-720-1110,4360
813,Brian Wal,237-13-9232,45975-7046,701-101-4453,9994
814,Chad Jones,286-17-4116,34360-6400,701-018-6491,5495
815,Scott Quick,899-37-4539,21909-2145,937-300-6140,5298
816,Roland Phillips,208-41-1827,95027-9775,515-189-5916,2220
817,Lillian Adcock,104-26-1073,70997-8032,485-618-9553,5124
818,Nicole Boger,690-89-5210,14407-3841,830-127-9184,1691
819,Minerva Martinez,642-06-4366,79766-5657,878-436-5451,5060
820,Arnold Greer,717-84-7966,89420-9271,364-343-1543,647
821,Joseph Mitchell,537-16-2793,36244-0122,733-183-7273,8608
822,Casey Dougherty,363-88-3195,40052-7309,995-245-3116,7976
823,Ryan Olivas,337-77-5142,27751-6480,200-459-2695,512
824,Michael Mckinney,284-05-0859,29457-4741,103-692-3039,5908
825,Ronald Raggs,101-26-1553,75932-5160,464-817-0902,9259
826,Richard Nguyen,842-88-0814,03200-5904,857-313-3871,9508
827,Eileen Grose,607-12-5023,04581-6987,265-086-8801,1657
828,Patricia Finley,301-65-5837,95830-0415,853-335-7871,4596
829,Brittany Sanchez,833-81-6990,74999-8985,730-084-9374,6542
830,Cory Werner,263-99-3942,02874-0791,698-334-0485,5955
831,Adam Sweigart,820-65-9102,06996-6669,140-882-5294,9721
832,Virginia Hamilton,695-22-7439,81685-4928,217-105-6802,9220
833,William Shon,493-26-0880,59380-5434,591-849-6211,2584
834,Vikki Sao,642-98-7001,84375-0431,691-357-4528,1692
835,Brandi Gallo,682-92-8075,72850-6259,716-588-9293,4815
836,Vicki Lewis,253-53-9990,13915-6894,929-037-3966,4405
837,Brenda Davis,952-66-8321,35841-0716,750-278-3203,293
838,Gregory Pierce,969-88-1260,44436-0729,781-678-8983,5949
839,Irma Chaput,276-74-2774,08189-5719,101-761-8509,5390
840,Joseph Hill,423-80-2626,85673-1942,606-679-0085,8041
